ground_truth,person_id,video_label,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_wrist_x_vel,left_wrist_y_vel,left_wrist_z_vel,right_wrist_x_vel,right_wrist_y_vel,right_wrist_z_vel,right_arm_len,left_arm_len,right_horiz_ratio,left_horiz_ratio,right_wrist_acc
idle,anu,rotate,0.0963730663061142,0.003966569900512695,-0.08855729084461927,0.07644312083721161,-0.1430116593837738,-0.48407268058508635,0.0745418518781662,-0.1503438651561737,-0.01748326583765447,-0.036888137459754944,-0.16937461495399475,-0.3739796979352832,0.05893529951572418,-0.3501162528991699,-0.07200391124933958,-0.06123213469982147,-0.35662853717803955,-0.26845970284193754,0.0,0.0,0.0,0.0,0.0,0.0,0.33328006636614976,0.3564410837152032,0.0,0.0,0.0
idle,anu,rotate,0.08995556831359863,0.009807229042053223,-0.09068649634718895,0.08194923400878906,-0.17346638441085815,-0.4868873469531536,0.07545268535614014,-0.14794600009918213,-0.027996412944048643,-0.03482633829116821,-0.18088006973266602,-0.3755483441054821,0.05994969606399536,-0.35021093487739563,-0.07402975484728813,-0.06039315462112427,-0.3567209243774414,-0.2519579343497753,-0.1944696361368353,0.1769896709557736,-0.06452137886574776,0.1668519142902259,-0.9228704553661926,-0.08529292024446257,0.33020510432972067,0.36165021465331,0.18079648397405415,1.0987564208140064,28.536451017431887
idle,anu,rotate,0.09037497639656067,0.04548455774784088,-0.09020041208714247,0.08558507263660431,-0.20785270631313324,-0.48609115090221167,0.076393261551857,-0.13881631195545197,-0.03226779098622501,-0.033092305064201355,-0.19260551035404205,-0.37573692109435797,0.06077219545841217,-0.34979259967803955,-0.07700069155544043,-0.060437723994255066,-0.35594263672828674,-0.24208713974803686,0.012709335847334427,1.0811311729026563,0.014729826062014608,0.11017692811561353,-1.0420097546143965,0.02412715305884679,0.320610732954449,0.39660381798978095,0.1057349241624529,0.011755580090833872,5.194029482347594
idle,anu,rotate,0.0907943844795227,0.08116188645362854,-0.08971432782709599,0.08354482054710388,-0.24223902821540833,-0.4869175124913454,0.07733383774757385,-0.1296866238117218,-0.036539169028401375,-0.0313582718372345,-0.2043309509754181,-0.37592549808323383,0.06159469485282898,-0.34937426447868347,-0.07997162826359272,-0.060482293367385864,-0.3551643490791321,-0.2322163451462984,0.012709335847334427,1.0811311729026563,0.014729826062014608,-0.06182582089395234,-1.0420097546143965,-0.025041260276779984,0.31363772458306416,0.43163516924445633,0.059333188856415815,0.011755580090833872,5.420980781417546
rotate,anu,rotate,0.08821728825569153,0.0875953733921051,-0.08959465194493532,0.08412203192710876,-0.3203456997871399,-0.49577840883284807,0.07791104912757874,-0.11934974789619446,-0.06961139012128115,-0.030781060457229614,-0.22994354367256165,-0.39114454109221697,0.06220439076423645,-0.34749168157577515,-0.07985195238143206,-0.06133130192756653,-0.3557239770889282,-0.21808659750968218,-0.07809382496458112,0.1949541496508049,0.0036265418836564727,0.0174912539395419,-2.366868835507017,-0.26851201034856564,0.31546954989384096,0.4359728620353667,0.007390036273707897,0.40057328623767746,40.8902401992026
rotate,anu,rotate,0.08856043219566345,0.08760866522789001,-0.08559649158269167,0.08515754342079163,-0.38820943236351013,-0.5362042160704732,0.07958409190177917,-0.11774691939353943,-0.06961139012128115,-0.029745548963546753,-0.26835641264915466,-0.39497115928679705,0.06552645564079285,-0.3455282747745514,-0.07394024450331926,-0.06037333607673645,-0.3557106852531433,-0.2107710661366582,0.010398301211270418,0.0004027829025730942,0.121156374613444,0.031379136172207917,-2.056476744738492,-1.2250244617462158,0.3579694687077552,0.4339055668766929,0.015258680164417816,25.752207795346365,30.47605441208374
rotate,anu,rotate,0.08807381987571716,0.08758047223091125,-0.08559649158269167,0.08267620205879211,-0.43446409702301025,-0.5493317218497396,0.07958897948265076,-0.11777511239051819,-0.06961139012128115,-0.029745548963546753,-0.2884320914745331,-0.4260916383937001,0.06746432185173035,-0.3441355228424072,-0.07394024450331926,-0.06037333607673645,-0.35573887825012207,-0.2026928784325719,-0.014745827877160275,-0.0008543332417805989,0.0,-0.07519216248483368,-1.401656504833337,-0.39780320543231384,0.3831700904261955,0.43236479956967083,0.05364517524826748,17.239862964361112,32.133245247305105
rotate,anu,rotate,0.08807381987571716,0.08748969435691833,-0.08960672933608294,0.05413970351219177,-0.4757755696773529,-0.5589007483795285,0.07959434390068054,-0.11786589026451111,-0.06962346751242876,-0.03129193186759949,-0.30666789412498474,-0.42610371578484774,0.06757417321205139,-0.34397196769714355,-0.07395232189446688,-0.06037333607673645,-0.3565983474254608,-0.19212948251515627,0.0,-0.002750844666452119,-0.12152235616337169,-0.8647423802000103,-1.251862807707353,-0.28997050090269605,0.4022904522895446,0.43223195371020035,0.6907639432309239,0.0,24.570798553569205
rotate,anu,rotate,0.08807381987571716,0.08251950144767761,-0.08962274622172117,0.01201656460762024,-0.47701597213745117,-0.561683195643127,0.07961556315422058,-0.11791190505027771,-0.08118392061442137,-0.05483469367027283,-0.31215065717697144,-0.426119732670486,0.06767436861991882,-0.3434091806411743,-0.08041113149374723,-0.06029579043388367,-0.36298710107803345,-0.16847561579197645,0.0,-0.15061190634062807,-0.000485360170855667,-1.276458754683987,-0.03758795333631114,-0.0843165837454074,0.41574494702778136,0.42651639321763546,33.958347902465285,0.0,39.350411017116
rotate,anu,rotate,0.08762812614440918,0.07703927159309387,-0.09078552108258009,-0.010255813598632812,-0.5446482002735138,-0.561683195643127,0.07979017496109009,-0.12267282605171204,-0.07706776540726423,-0.06254720687866211,-0.3247341215610504,-0.426119732670486,0.06785058975219727,-0.346515953540802,-0.0927492706105113,-0.05936026573181152,-0.36666339635849,-0.14996023755520582,-0.013505870645696454,-0.1660675713510223,-0.03523560184420958,-0.6749205517046374,-2.0494614586685627,0.0,0.45122680755983147,0.42402126832999654,0.32931588907615356,0.08132707191867652,63.68391078974798
