ground_truth,person_id,video_label,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_wrist_x_vel,left_wrist_y_vel,left_wrist_z_vel,right_wrist_x_vel,right_wrist_y_vel,right_wrist_z_vel,right_arm_len,left_arm_len,right_horiz_ratio,left_horiz_ratio,right_wrist_acc
idle,anu,swipe_right,0.247232586145401,-0.26198334991931915,-0.2812809501774609,-0.1312723308801651,0.04592643678188324,-0.38276854204013944,0.1390095055103302,-0.17927305400371552,-0.11030898289754987,-0.09981927275657654,-0.15708212554454803,-0.23124358849599957,0.06708584725856781,-0.3891788572072983,-0.1594107453711331,-0.07205942273139954,-0.38912688195705414,-0.26774632977321744,0.0,0.0,0.0,0.0,0.0,0.0,0.45388067589618136,0.25196009887548365,0.0,0.0,0.0
idle,anu,swipe_right,0.24842076003551483,-0.26045235991477966,-0.28202084358781576,-0.1312953680753708,0.04497602581977844,-0.38674969132989645,0.1396545022726059,-0.1799447238445282,-0.11057852115482092,-0.0998169332742691,-0.1571667492389679,-0.23377791699022055,0.06708328425884247,-0.38869085907936096,-0.1607431536540389,-0.07207410037517548,-0.3885344862937927,-0.269584066234529,0.03600526939738881,0.04639363650119667,-0.02242101243499554,-0.0006980968244148024,-0.028800332184993865,-0.12064088756839436,0.4529528743312897,0.2530546795945747,0.024238351890490898,0.7760653410111342,3.7585739420067137
idle,anu,swipe_right,0.24959249049425125,-0.2580210566520691,-0.282345459330827,-0.13130594044923782,0.04599958658218384,-0.39092643605545163,0.13936243206262589,-0.18094667792320251,-0.11153307231143117,-0.09983270615339279,-0.15592265129089355,-0.23707246081903577,0.06706614047288895,-0.3883949965238571,-0.16405100421980023,-0.07210185378789902,-0.38763703405857086,-0.2717235987074673,0.03550698359807332,0.07367585644577489,-0.009836840697310186,-0.0003203749656677246,0.031016992800163498,-0.12656802198652065,0.45360242401242423,0.2535878758139438,0.010328681411842866,0.4819285907536779,1.8215589758426576
idle,anu,swipe_right,0.25076422095298767,-0.2555897533893585,-0.28198101557791233,-0.13131651282310486,0.04709932208061218,-0.3951031807810068,0.13907036185264587,-0.18194863200187683,-0.11248762346804142,-0.09984847903251648,-0.1546785533428192,-0.240367004647851,0.06704899668693542,-0.38809913396835327,-0.16735885478556156,-0.07212960720062256,-0.386411190032959,-0.2738631311804056,0.03550698359807332,0.07367585644577489,0.011043750088323246,-0.0003203749656677246,0.03332531813419226,-0.12656802198652065,0.45401938674168046,0.2538666171698482,0.009613272140585645,0.4819285907536779,0.06994925254632614
idle,anu,swipe_right,0.25054940581321716,-0.24915528297424316,-0.2805131021887064,-0.1315310001373291,0.04899430274963379,-0.4017105046659708,0.13885554671287537,-0.1835351586341858,-0.11053869314491749,-0.09998348355293274,-0.1527835726737976,-0.24852467514574528,0.06686308979988098,-0.38799989223480225,-0.16735885478556156,-0.07234442234039307,-0.3845162093639374,-0.28673052228987217,-0.006509549690015388,0.1949839519731926,0.04448222391533129,-0.006499615582552823,0.05742365663701837,-0.20022193590799967,0.4523878993203636,0.2565587104672937,0.11318510136920688,0.03338488239292615,2.355816896515708
idle,anu,swipe_right,0.2501610815525055,-0.2403370440006256,-0.28054105676710606,-0.13154169917106628,0.049780696630477905,-0.40510463155806065,0.1384672224521637,-0.18274876475334167,-0.11056664772331715,-0.0994899570941925,-0.1519971787929535,-0.2535222712904215,0.06650349497795105,-0.388383686542511,-0.1786294374614954,-0.07273274660110474,-0.38372981548309326,-0.2879082802683115,-0.011767401839747572,0.26721936283689557,-0.0008471084363532789,-0.0003242131435509884,0.023830117601336853,-0.1028523300633286,0.4529071005967747,0.2569706123738792,0.013604613471119836,0.044036321614195593,3.1268706581108723
idle,anu,swipe_right,0.24958749115467072,-0.2339814305305481,-0.27784915547817945,-0.13030476868152618,0.04990428686141968,-0.40508489590138197,0.13445152342319489,-0.1825832724571228,-0.11054691206663847,-0.09849505126476288,-0.151777982711792,-0.2535025356337428,0.06592990458011627,-0.3885659873485565,-0.17860970180481672,-0.07330633699893951,-0.3829267621040344,-0.2878885446116328,-0.01738152720711448,0.1925943475781065,0.08157276633110913,0.03748274210727576,0.003745158513387044,0.0005980502023841395,0.45202491404616196,0.25975943385832506,10.00564764500213,0.09024894643452096,3.392688165464629
idle,anu,swipe_right,0.24523626267910004,-0.22909149527549744,-0.25358683709055185,-0.12867780029773712,0.04996272921562195,-0.4050830090418458,0.12647609412670135,-0.18284311890602112,-0.10506200138479471,-0.09702305495738983,-0.15162751078605652,-0.25350064877420664,0.06526122987270355,-0.38929566740989685,-0.17860781494528055,-0.07386337220668793,-0.3824148178100586,-0.28788665775209665,-0.13185540835062662,0.14817985621365634,0.7352217693220485,0.049302072236032196,0.0017709804303718336,5.7177561702150285e-05,0.4513202293876529,0.2523454833453392,27.823147135821706,0.8898275507364414,0.3634930108970543
swipe_right,anu,swipe_right,0.2306332290172577,-0.22720521688461304,-0.25358740612864494,-0.12424704432487488,0.051803410053253174,-0.4017174057662487,0.11510589718818665,-0.18244445323944092,-0.1050625704228878,-0.09478428959846497,-0.14904850721359253,-0.24853157624602318,0.06475093960762024,-0.3895677328109741,-0.17860838398337364,-0.07395285367965698,-0.38136687874794006,-0.28673742339015007,-0.44251617157098055,0.05715995123892124,-1.72435785784866e-05,0.1342653325109772,0.05577820720094628,0.10198797804839692,0.4509838146319385,0.24392698555014708,2.407085708968259,7.741581656354043,4.341423284142884
swipe_right,anu,swipe_right,0.20899830758571625,-0.22138148546218872,-0.2535902066156268,-0.11977823078632355,0.05767136812210083,-0.3760222001001239,0.1015230268239975,-0.17843222618103027,-0.10506537090986967,-0.09309442341327667,-0.1431000828742981,-0.23443263303488493,0.06316463649272919,-0.3865526616573334,-0.18973545264452696,-0.07439897954463959,-0.37554314732551575,-0.2794298632070422,-0.6556036797436795,0.17647670977043367,-8.486324187481035e-05,0.13541859207731294,0.17781691117720155,0.7786425959431756,0.44616608161561955,0.2294044608869992,0.7615576585103608,3.7149376008817434,20.835537011697184
swipe_right,anu,swipe_right,0.1893225759267807,-0.2176840901374817,-0.25359302666038275,-0.11855421960353851,0.06136876344680786,-0.37034097220748663,0.09006182849407196,-0.17865842580795288,-0.1050681909546256,-0.09183113276958466,-0.13937729597091675,-0.22780176904052496,0.06274233758449554,-0.38509657979011536,-0.18823300208896399,-0.07448281347751617,-0.3718457520008087,-0.26444518472999334,-0.596234292695017,0.11204228256687983,-8.545590169502034e-05,0.03709124796318288,0.11204228256687983,0.1721584209890078,0.44814174435988047,0.21982136211583111,0.331043924396295,5.321463982806095,18.72466449521605
swipe_right,anu,swipe_right,0.16215577721595764,-0.21363979578018188,-0.4419479640200734,-0.11694931983947754,0.06541305780410767,-0.3162894221022725,0.07434043288230896,-0.17495155334472656,-0.15424625296145678,-0.09113621711730957,-0.13480490446090698,-0.18935125786811113,0.06203463673591614,-0.3816067576408386,-0.17587534803897142,-0.07446631789207458,-0.3678014576435089,-0.2389523359015584,-0.823236324570395,0.12255437446363034,-5.707725374536076,0.04863332618366584,0.12255437446363034,1.6379257607640627,0.44210931538590426,0.3301996063334275,0.3968273639284446,6.717260080786579,44.41971139401696
swipe_right,anu,swipe_right,0.12882155179977417,-0.2175510823726654,-0.5740977600216866,-0.11299833655357361,0.06749370694160461,-0.2528723254799843,0.065060555934906,-0.17328527569770813,-0.23972799628973007,-0.09087908267974854,-0.13172999024391174,-0.13179538398981094,0.061936259269714355,-0.3796413838863373,-0.17593463510274887,-0.07350364327430725,-0.3661109209060669,-0.2031426951289177,-1.0101280429146515,-0.11852383613586435,-4.004539272776159,0.11972676623951314,0.06304997386354394,1.9217302006754025,0.4382303506410695,0.435064112800445,1.8988884533112522,8.52250107105609,9.047371048335641
swipe_right,anu,swipe_right,0.09474463760852814,-0.2266213595867157,-0.690992055577226,-0.10991640388965607,0.06879326701164246,-0.1719696355285123,0.05694867670536041,-0.18015775084495544,-0.2933809441747144,-0.0894075483083725,-0.12980106472969055,-0.06224244285840541,0.06184591352939606,-0.3785206973552704,-0.18528930668253452,-0.07301370799541473,-0.3648616075515747,-0.14727929059881717,-1.032633763371091,-0.27485688527425106,-3.542251380470889,0.09339189890659208,0.03938060818296487,2.4515966651961185,0.4359219796356336,0.5290472616886016,2.3714597553431096,3.7569733986010156,16.09237094121002
swipe_right,anu,swipe_right,0.056011736392974854,-0.23939472436904907,-0.698898759088479,-0.10815504193305969,0.0706835389137268,-0.16821781953331083,0.05462023615837097,-0.1823306679725647,-0.31701370736118406,-0.08907759189605713,-0.1283826231956482,-0.0343188684200868,0.06183779239654541,-0.3788902163505554,-0.1861486550187692,-0.07279706001281738,-0.36367711424827576,-0.1278036799049005,-1.1737242792591913,-0.3870716600707086,-0.23959707609857592,0.05337460474534472,0.05728096672982885,0.11369139379398398,0.43766730124913183,0.5314184833398415,0.9317872236665118,3.0323099519474743,70.85806805030636
swipe_right,anu,swipe_right,0.033784061670303345,-0.24940165877342224,-0.7041710778139532,-0.10750478506088257,0.07134479284286499,-0.16818788787350059,0.054082632064819336,-0.18259650468826294,-0.3560896082781255,-0.0878024697303772,-0.1278538703918457,-0.034288936760276556,0.0646238923072815,-0.3786486089229584,-0.1864143772982061,-0.07144910097122192,-0.36333850026130676,-0.11396777769550681,-0.6735659006870159,-0.3032404364961569,-0.15976723410527827,0.019704753702337107,0.020037997852672247,0.0009070199942498503,0.43953315916637564,0.5345351908019033,0.9833203160760572,2.2212198585715126,3.7410453322075767
swipe_right,anu,swipe_right,0.009356498718261719,-0.25605833530426025,-0.7041421695612371,-0.10779538750648499,0.0751570463180542,-0.16815897962078452,0.05316340923309326,-0.18307805061340332,-0.3608140214346349,-0.08785715699195862,-0.12783783674240112,-0.03426002850756049,0.0659085214138031,-0.37881648540496826,-0.18638546904549003,-0.07058027386665344,-0.36067238450050354,-0.1079890145920217,-0.7402291803648972,-0.20171747063145476,0.0008760076580625584,-0.00880613471522475,0.11552283258149108,0.0008760076580625584,0.4415344631423646,0.5351071814282238,0.07622786154547685,3.6696152714607697,3.019712612788244
swipe_right,anu,swipe_right,-0.017192259430885315,-0.2745863199234009,-0.7041510445997119,-0.10808439552783966,0.07969102263450623,-0.16816785465925932,0.052816346287727356,-0.1850481927394867,-0.3678615791723132,-0.0881461650133133,-0.1248108446598053,-0.03426890354603529,0.06610159575939178,-0.3796333074569702,-0.18639434408396482,-0.06990544497966766,-0.35978469252586365,-0.10786238592118025,-0.8045078227014245,-0.5614540793678973,-0.0002689405598423695,-0.008757818828929547,0.13739322171066734,-0.0002689405598423695,0.44523396775223445,0.5348315032150684,0.06374226455732808,1.4328979330050111,0.6636482367196802
swipe_right,anu,swipe_right,-0.042766109108924866,-0.29095035791397095,-0.7028656653128564,-0.10795362293720245,0.08186134696006775,-0.16805984592065215,0.04925934970378876,-0.18662884831428528,-0.36775357043370605,-0.08824224770069122,-0.12358012795448303,-0.03416089480742812,0.06664691865444183,-0.3812139630317688,-0.18628633534535766,-0.0663662999868393,-0.3597264885902405,-0.10290328180417418,-0.7749651417587736,-0.49587993910818345,0.038950887480468425,0.003962805776885058,0.0657674038048946,0.003272992079005094,0.44830201849160634,0.5356985469486351,0.060253944867522224,1.5628048602805926,2.2070546727721156
swipe_right,anu,swipe_right,-0.05924363434314728,-0.30831238627433777,-0.7028656653128564,-0.10795362293720245,0.08098173141479492,-0.16805984592065215,0.045553043484687805,-0.1947474479675293,-0.36775357043370605,-0.08824224770069122,-0.1246175765991211,-0.028657795395702124,0.06696508824825287,-0.3839171528816223,-0.18628633534535766,-0.06634555757045746,-0.3614174425601959,-0.10192242031916976,-0.4993189464915895,-0.5261220715262687,0.0,0.0,-0.026655016523419072,0.0,0.4492465017142695,0.5371209608101,0.0,0.9490535076575882,2.8050066883499327
swipe_right,anu,swipe_right,-0.07038174569606781,-0.3143620491027832,-0.6713941148482263,-0.10795362293720245,0.08035603165626526,-0.16805984592065215,0.04123784601688385,-0.20199856162071228,-0.36775357043370605,-0.08835573494434357,-0.12535646557807922,-0.028657795395702124,0.06714104115962982,-0.3850415050983429,-0.18628633534535766,-0.06625337898731232,-0.36215633153915405,-0.10012616729363799,-0.33751852584607644,-0.18332311601349785,0.9536833474130333,0.0,-0.018960598743323107,0.0,0.44963439216553874,0.5091538668600973,0.0,1.8411027047921262,0.233164175154423
swipe_right,anu,swipe_right,-0.08223435282707214,-0.31783556938171387,-0.6405442408286035,-0.10790735483169556,0.07994958758354187,-0.16205135500058532,0.038149893283843994,-0.20900127291679382,-0.3459318629465997,-0.088442862033844,-0.1257629096508026,-0.027629710268229246,0.06718730926513672,-0.38623911142349243,-0.16947524761781096,-0.06586617231369019,-0.36256277561187744,-0.08217748021706939,-0.35916991306073703,-0.10525819027062609,0.9348446672612962,0.0014020638032393009,-0.012316487052223888,0.18207548242626753,0.4516242780024561,0.498910687429012,0.11382709779152252,3.412242789796265,5.5212745983085
swipe_right,anu,swipe_right,-0.08217313885688782,-0.3178843855857849,-0.6167428591288626,-0.10725566744804382,0.07990077137947083,-0.15640407288447022,0.03676769137382507,-0.20905008912086487,-0.3376390137709677,-0.08839738368988037,-0.12581172585487366,-0.022494195494800806,0.06724852323532104,-0.3864819407463074,-0.16340220952406526,-0.06535464525222778,-0.3631213307380676,-0.07699410105124116,0.0018549687934644279,-0.001479278911243784,0.7212539909012383,0.019748102534900995,-0.001479278911243784,0.17112976109439662,0.45202900598551327,0.4822345925589524,13.340798402854988,1.2531211377630287,0.7259021383888287
swipe_right,anu,swipe_right,-0.08207537233829498,-0.3179452419281006,-0.6071142454165965,-0.10713289678096771,0.07983991503715515,-0.1542363513726741,0.03686545789241791,-0.20911094546318054,-0.3337344427127391,-0.08830253779888153,-0.1260862648487091,-0.021461176918819547,0.06734628975391388,-0.38681113719940186,-0.16341166687197983,-0.06506724655628204,-0.3632901906967163,-0.07456677895970643,0.002962621775540446,-0.001844131585323454,0.2917761730989731,0.003720323244730641,-0.001844131585323454,0.06568853066048855,0.4521958096942107,0.4732243895247347,2.0162915611671477,1.6056425455537875,3.2319110077542255
swipe_right,anu,swipe_right,-0.08206430077552795,-0.3179279565811157,-0.6071302792988718,-0.10601714253425598,0.07982221245765686,-0.1418080679140985,0.036876529455184937,-0.20909366011619568,-0.33375047659501433,-0.0882914662361145,-0.12719789147377014,-0.015252381097525358,0.06733381748199463,-0.38689255714416504,-0.16342770075425506,-0.06336358189582825,-0.3648398518562317,-0.07458281284198165,0.0003355019020311757,0.0005237983934807051,-0.0004858752204613248,0.033810734748840304,-0.0005364418029785152,0.3766146502598665,0.45173323166946217,0.4732313304049631,62.91050409823056,0.639296739850845,9.466105731944701
